Crisis,Portfolio %,Nifty50 %,Excess %,Port MaxDD %
2022 rate-hike selloff,-8.104749016564705,-16.465934060306942,8.361185043742237,-21.603162352629624
Adani-Hindenburg,-20.39919747697101,-6.236238178550913,-14.162959298420098,-20.97670062837632
Election-day shock,-6.045525492940862,-2.7663064681507255,-3.2792190247901365,-6.927064908497671
FII exit / SMID crash,-20.004066161092847,-15.626876962452485,-4.377189198640362,-28.317895237111667
H1-2026 correction,21.08428846371384,-8.723142108998905,29.807430572712747,-12.16425885048158
